county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Stanislaus,2007,1375986.0,334464.0,2967.0,2892.0,1598.0,667.0,18788.0,,1544.0,49511.0,48617.0,94309.0,190323.0,48279.0,49667.0,768.0,7705.0,61446.0,29147.0,97433.0,102571.0
Sutter,2002,235896.0,170568.0,22857.0,24270.0,10466.0,697.0,115.0,,1094.0,9750.0,14316.0,19041.0,43361.0,12830.0,12557.0,18503.0,2881.0,15271.0,11417.0,28168.0,19484.0
Sutter,2007,268268.0,212405.0,1169.0,1149.0,680.0,78.0,96.0,,213.0,18761.0,13756.0,24544.0,48347.0,15107.0,12352.0,304.0,4272.0,15512.0,12050.0,25679.0,18313.0
Tehama,2002,103880.0,66165.0,8142.0,6988.0,1760.0,5731.0,860.0,,13756.0,3881.0,5652.0,9952.0,19480.0,8127.0,4101.0,6133.0,393.0,6617.0,4703.0,11266.0,9285.0
Tehama,2007,125090.0,71398.0,746.0,717.0,444.0,331.0,1756.0,,879.0,8488.0,5455.0,9662.0,22404.0,7124.0,3153.0,329.0,454.0,9607.0,7007.0,9227.0,14876.0
Trinity,2002,2397.0,17889.0,47.0,,44.0,239.0,70.0,,570.0,,80.0,297.0,337.0,66.0,,497.0,,158.0,250.0,168.0,443.0
Trinity,2007,5687.0,31421.0,45.0,32.0,24.0,25.0,62.0,,96.0,464.0,205.0,936.0,1036.0,85.0,35.0,33.0,,325.0,347.0,839.0,737.0
Tulare,2002,1924877.0,335754.0,69484.0,91474.0,27378.0,171850.0,22499.0,,810169.0,44573.0,93901.0,138905.0,286657.0,184616.0,70431.0,52669.0,12247.0,92988.0,37506.0,214024.0,174160.0
Tulare,2007,2574837.0,491381.0,4598.0,4573.0,1743.0,383.0,50247.0,,1123.0,86433.0,114317.0,147667.0,330240.0,198953.0,86785.0,809.0,12502.0,108343.0,46584.0,219989.0,161752.0
Tuolumne,2002,16459.0,46102.0,110.0,,,555.0,242.0,,9980.0,647.0,399.0,1339.0,1831.0,,,1576.0,,769.0,617.0,3699.0,1186.0
Tuolumne,2007,21667.0,59198.0,32.0,90.0,56.0,141.0,323.0,,274.0,1367.0,420.0,1416.0,1182.0,851.0,8.0,124.0,6.0,1090.0,1120.0,1285.0,1192.0
Ventura,2002,809424.0,348740.0,49359.0,49805.0,65579.0,1151.0,153.0,,5505.0,20829.0,35739.0,65632.0,272542.0,86825.0,21857.0,46136.0,9617.0,22611.0,18320.0,110615.0,44196.0
Ventura,2007,1020310.0,418674.0,1894.0,1717.0,1158.0,132.0,619.0,,429.0,34549.0,39935.0,54776.0,362525.0,107315.0,13402.0,308.0,11235.0,38182.0,21434.0,119423.0,53431.0
Yolo,2002,287064.0,270560.0,27594.0,20565.0,17871.0,6609.0,93.0,,8264.0,13736.0,11861.0,22313.0,63277.0,22732.0,12375.0,22105.0,5313.0,15918.0,7781.0,34053.0,24390.0
Yolo,2007,312706.0,318114.0,698.0,670.0,544.0,99.0,1618.0,,362.0,24648.0,13027.0,27621.0,61746.0,20560.0,15713.0,293.0,2978.0,10514.0,8638.0,24252.0,22826.0
Yuba,2002,103104.0,119057.0,8065.0,10103.0,2493.0,1252.0,56.0,,9206.0,3801.0,4990.0,12369.0,22670.0,3567.0,5862.0,5931.0,1214.0,7875.0,4422.0,10903.0,9973.0
Yuba,2007,106951.0,129168.0,483.0,458.0,304.0,127.0,465.0,,344.0,6480.0,5318.0,7985.0,16781.0,3511.0,6824.0,214.0,1380.0,6838.0,4313.0,10471.0,10172.0
acramento,2002,228510.0,151331.0,11055.0,11874.0,8276.0,6341.0,1213.0,,45782.0,17432.0,8173.0,16876.0,48379.0,14450.0,7479.0,10655.0,2788.0,15467.0,7524.0,26066.0,20383.0
acramento,2007,265205.0,190384.0,652.0,589.0,466.0,341.0,1479.0,,940.0,11937.0,8280.0,16791.0,56365.0,24497.0,8051.0,299.0,1539.0,14738.0,8432.0,20592.0,27180.0
anta Clara,2002,138214.0,134580.0,10265.0,9384.0,21487.0,3722.0,613.0,,4052.0,3745.0,11012.0,9765.0,40572.0,9749.0,3539.0,5539.0,1282.0,5359.0,5700.0,12170.0,10486.0
anta Clara,2007,208106.0,194856.0,485.0,461.0,454.0,182.0,506.0,,390.0,8983.0,9383.0,14363.0,68403.0,13730.0,5627.0,191.0,2248.0,5195.0,5447.0,20278.0,14491.0
n Francisco,2002,,,12.0,,,,,,,,,,,,,,,,1.0,,
n Francisco,2007,737.0,92089.0,8.0,6.0,6.0,,,,,30.0,23.0,64.0,257.0,21.0,1.0,1.0,,,26.0,106.0,
nta Barbara,2002,553445.0,382213.0,41019.0,40701.0,53630.0,5852.0,371.0,,14974.0,14571.0,30157.0,37179.0,167703.0,58397.0,15224.0,47217.0,5374.0,13842.0,15430.0,69064.0,42343.0
nta Barbara,2007,790553.0,495024.0,992.0,929.0,595.0,167.0,1122.0,,460.0,28078.0,30030.0,50489.0,232123.0,97997.0,14403.0,294.0,5838.0,21337.0,16229.0,90637.0,54017.0
ontra Costa,2002,70689.0,119609.0,2712.0,4097.0,2330.0,1346.0,,,4543.0,2210.0,3067.0,5041.0,19663.0,2385.0,562.0,4922.0,2944.0,1649.0,3408.0,3278.0,6341.0
ontra Costa,2007,62302.0,98269.0,309.0,339.0,180.0,58.0,537.0,,299.0,3506.0,2933.0,4315.0,12676.0,5049.0,876.0,111.0,720.0,4563.0,3518.0,4195.0,5112.0
os Angeles,2002,211270.0,137099.0,13609.0,10507.0,28291.0,2530.0,57.0,,15872.0,7725.0,11396.0,14936.0,81316.0,9630.0,4329.0,14031.0,1736.0,6129.0,4674.0,29734.0,9874.0
os Angeles,2007,288150.0,166177.0,577.0,531.0,468.0,237.0,533.0,,788.0,11018.0,11931.0,20542.0,93356.0,18089.0,3554.0,198.0,1225.0,5626.0,7292.0,30676.0,13871.0
