state_alpha,county_name,county_ansi,state_fips_code,year,commodity_desc,short_desc,value
SD,CUSTER,033,46,2007,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",994000
SD,CUSTER,033,46,2007,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",93000
SD,CUSTER,033,46,2007,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",871000
SD,CUSTER,033,46,2007,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",389000
SD,CUSTER,033,46,2007,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",140000
SD,CUSTER,033,46,2007,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",1272000
SD,CUSTER,033,46,2007,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",90000
SD,CUSTER,033,46,2007,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",1352000
SD,CUSTER,033,46,2007,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",1252000
SD,CUSTER,033,46,2012,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",296000
SD,CUSTER,033,46,2012,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",NA
SD,CUSTER,033,46,2012,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",1508000
SD,CUSTER,033,46,2012,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",NA
SD,CUSTER,033,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",NA
SD,CUSTER,033,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",NA
SD,CUSTER,033,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",1480000
SD,CUSTER,033,46,2012,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",262000
SD,CUSTER,033,46,2012,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",3456000
SD,CUSTER,033,46,2012,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",22959000
SD,CUSTER,033,46,2012,FEED,"FEED - EXPENSE, MEASURED IN $",4833000
SD,CUSTER,033,46,2012,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",288000
SD,CUSTER,033,46,2012,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",2128000
SD,CUSTER,033,46,2012,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",3463000
SD,CUSTER,033,46,2012,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",545000
SD,CUSTER,033,46,2012,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",2918000
SD,CUSTER,033,46,2012,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",331000
SD,CUSTER,033,46,2012,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",1152000
SD,CUSTER,033,46,2012,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",237000
SD,CUSTER,033,46,2012,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",193000
